title,deadline,country,estimated_value_eur,tender_url,notice_id,cpv_codes,description,buyer_name
"Supply, Delivery and Installation of Automatic External Defibrillators (AEDs), AED Cabinets and Associated Equipment",2026-02-02,SCT,240000.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000818889,rls-17-DEC545970,22816000 31440000 31711140 33000000 33100000 33140000 33141620 33182000 33182100 39141300 45310000,This procurement will follow the GPA open tender process.,North Ayrshire Council
"Servicing and Repair of ASN Equipment, North Ayrshire",2026-01-27,SCT,200000.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000818202,rls-49-DEC545408,33100000 33192600 33196100 33196200 39541220 42410000 42416300 50400000 50420000 50421000,This procurement will follow the GPA open tender process.,North Ayrshire Council
PURCH2750 Provision of a Framework for the Supply and Maintenance of Autoclaves with Associated Services and Consumables,2026-01-19,SCT,,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000817754,rls-69-DEC545057,33000000 33191110,"PURCH2750 Provision of a Framework for the Supply and Maintenance of Autoclaves with Associated Services and Consumables
 Lot 1 â Small Capacity Autoclaves (5L â 50L) â Supply, Delivery, Installation, Commissioning & Maintenance
 This procurement process is being conducted using the Competitive Procedure with Negotiation (CPN) in accordance with the requirements of Regulation 30 of the PC(S)R 2015. Although this procurement is being conducted under the Competitive Procedure with Negotiation (CPN), it is structured differently from a typical CPN process. This approach has been adopted to enhance the efficiency of evaluating supplier responses across both stages (SPD and ITT).
 The University intends to establish a multi-supplier framework as a result of this procurement exercise.
 Please refer to the PURCH2750 - Schedule 1A - ITT document for additional information and specification. PURCH2750 Provision of a Framework for the Supply and Maintenance of Autoclaves with Associated Services and Consumables
 Lot 2 â Medium Capacity Autoclaves (51L â 200L - Supply, Delivery, Installation, Commissioning & Maintenance
 This procurement process is being conducted using the Competitive Procedure with Negotiation (CPN) in accordance with the requirements of Regulation 30 of the PC(S)R 2015. Although this procurement is being conducted under the Competitive Procedure with Negotiation (CPN), it is structured differently from a typical CPN process. This approach has been adopted to enhance the efficiency of evaluating supplier responses across both stages (SPD and ITT).
 The University intends to establish a multi-supplier framework as a result of this procurement exercise.
 Please refer to the PURCH2750 - Schedule 1A â ITT document for additional information and specification. PURCH2750 Provision of a Framework for the Supply and Maintenance of Autoclaves with Associated Services and Consumables
 Lot 3 â Large Capacity Autoclaves (+200L) - Supply, Delivery, Installation, Commissioning & Maintenance
 This procurement process is being conducted using the Competitive Procedure with Negotiation (CPN) in accordance with the requirements of Regulation 30 of the PC(S)R 2015. Although this procurement is being conducted under the Competitive Procedure with Negotiation (CPN), it is structured differently from a typical CPN process. This approach has been adopted to enhance the efficiency of evaluating supplier responses across both stages (SPD and ITT).
 The University intends to establish a multi-supplier framework as a result of this procurement exercise.
 Please refer to the PURCH2750 - Schedule 1A â ITT document for additional information and specification. PURCH2750 Provision of a Framework for the Supply and Maintenance of Autoclaves with Associated Services and Consumables
 Lot 4 â Maintenance, Servicing & Repairs
 This procurement process is being conducted using the Competitive Procedure with Negotiation (CPN) in accordance with the requirements of Regulation 30 of the PC(S)R 2015. Although this procurement is being conducted under the Competitive Procedure with Negotiation (CPN), it is structured differently from a typical CPN process. This approach has been adopted to enhance the efficiency of evaluating supplier responses across both stages (SPD and ITT).
 The University intends to establish a multi-supplier framework as a result of this procurement exercise.
 Please refer to the PURCH2750 - Schedule 1A â ITT document for additional information and specification. PURCH2750 Provision of a Framework for the Supply and Maintenance of Autoclaves with Associated Services and Consumables
 Lot 5 â Consumables
 This procurement process is being conducted using the Competitive Procedure with Negotiation (CPN) in accordance with the requirements of Regulation 30 of the PC(S)R 2015. Although this procurement is being conducted under the Competitive Procedure with Negotiation (CPN), it is structured differentl",University of Glasgow
Auto-injectors for PET-CT Service,2026-01-09,SCT,,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000817623,rls-73-DEC545008,33100000 33140000 50400000,"This procurement is for the acquisition of auto-injector systems to support PET-CT services across NHS Scotland. The aim is to standardize the delivery of radiopharmaceuticals, improve patient safety, enhance imaging quality, and streamline clinical workflows. This procurement will apply to the 4 NHS Boards involved in PET-CT imaging, NHS GG&C, NHS Lothian, NHS Grampian and NHS Tayside. The procurement is to do a 10 year, non-framework contract as this covers the lifespan of the machines. The procurement will also cover the maintenance of the machines for the lifespan and the delivery of all consumables required for the daily operation of the machines. It will run alongside the PET-CT replacement programme. There will be a single award as the requirements of the service are to standardise equipment and delivery.",The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS)
"Framework - Supply, Delivery & Installation of Internal & External Hand/Grab Rails & Minor Adaptations To Homeowners & Council Tenants within East Renfrewshire Council.",2026-01-12,SCT,336000.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000817497,rls-80-DEC544893,33196000 33196100 33196200,"Economic operators may be excluded from this competition if they are in any of the situations referred to in regulation 8 and 9 of the Procurement (Scotland) Regulations 2016.
 Bidders must self-certify their adherence to the conditions of participation via the SPD (Scotland) in PSC-T, and may be required to submit Means of Proof before contract award. Bidders must refer to the specific requirements listed in Section III in this OJEU Contract Notice when completing the SPD in PCS-T.
 The Value shown in this notice is excluding VAT. Economic operators may be excluded from this competition if they are in any of the situations referred to in regulation 8 and 9 of the Procurement (Scotland) Regulations 2016.",East Renfrewshire Council
"Supply and Delivery of Personal Protective Equipment (PPE), First Aid Materials and Workwear",2026-01-14,SCT,80000000.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000799706,rls-82-DEC544891,18000000 18100000 18110000 18130000 18141000 18143000 18220000 18221000 18222000 18234000 18235300 18330000 18424000 18424300 18444000 18800000 18810000 18811000 18812000 18812200 18814000 18830000 18831000 33000000 33100000 33140000 33141111 33141112 33141113 33141115 33141116 33141117 33141118 33141119 33141623 33182100 33700000 35113400 35113440 35113450,"Supply and Delivery of Ear, Eye and Head Protection. This includes but is not limited to visors, goggles, ear plugs and hard hats.. Economic operators may be excluded from this competition if they are in any of the situations referred to in Regulation 58 of the Public Contracts (Scotland) Regulations 2015. Please see the Invitation to Tender contained on the PCS-Tender project relevant to this procurement and the other Procurement Documents for further information. Supply and Delivery of Safety Masks & Respirators. This includes, but is not limited to surgical masks, FFP3 respirators, valved and non-valved masks.. Economic operators may be excluded from this competition if they are in any of the situations referred to in Regulation 58 of the Public Contracts (Scotland) Regulations 2015. Please see the Invitation to Tender contained on the PCS-Tender project relevant to this procurement and the other Procurement Documents for further information. Supply and Delivery of Gloves. This includes but is not limited to nitrile gloves, disposable gloves and cut protection gloves.. Economic operators may be excluded from this competition if they are in any of the situations referred to in Regulation 58 of the Public Contracts (Scotland) Regulations 2015. Please see the Invitation to Tender contained on the PCS-Tender project relevant to this procurement and the other Procurement Documents for further information. Supply and Delivery of Traditional Workwear. This includes but is not limited to shirts, trousers, polo shirts, shorts and fleece tops.. Economic operators may be excluded from this competition if they are in any of the situations referred to in Regulation 58 of the Public Contracts (Scotland) Regulations 2015. Please see the Invitation to Tender contained on the PCS-Tender project relevant to this procurement and the other Procurement Documents for further information. Supply and Delivery of Health, Hospitality and Leisure Workwear. Economic operators may be excluded from this competition if they are in any of the situations referred to in Regulation 58 of the Public Contracts (Scotland) Regulations 2015. Please see the Invitation to Tender contained on the PCS-Tender project relevant to this procurement and the other Procurement Documents for further information. Supply and Delivery of Footwear. This includes but is not limited to safety shoes, rubber boots, safety boots and waterproof boots.. Economic operators may be excluded from this competition if they are in any of the situations referred to in Regulation 58 of the Public Contracts (Scotland) Regulations 2015. Please see the Invitation to Tender contained on the PCS-Tender project relevant to this procurement and the other Procurement Documents for further information. Supply and Delivery of First Aid Materials and Associated Products. Economic operators may be excluded from this competition if they are in any of the situations referred to in Regulation 58 of the Public Contracts (Scotland) Regulations 2015. Please see the Invitation to Tender contained on the PCS-Tender project relevant to this procurement and the other Procurement Documents for further information. Supply and Delivery of Protective and Hi Viz Workwear. This includes but is not limited to hi vis vests, jackets, trousers and wet weather clothing.. Economic operators may be excluded from this competition if they are in any of the situations referred to in Regulation 58 of the Public Contracts (Scotland) Regulations 2015. Please see the Invitation to Tender contained on the PCS-Tender project relevant to this procurement and the other Procurement Documents for further information. Lot for the Supply and Delivery of Automated External Defibrillators (AEDs). Economic operators may be excluded from this competition if they are in any of the situations referred to in Regulation 58 of the Public Contracts (Scotland) Regulations 2015. Please see the Invitation to Tender contained on the PCS-Tender project relev",Scotland Excel
Patient Temperature Management and Fluid Warming,2026-01-07,SCT,7600000.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000817365,rls-88-DEC544784,33186200,"Fluid Warming - Neonates & Paediatrics up to 20kgs in weight
 Delivery will be mainly into the NDS (National Distribution Site) however there maybe some requirement for product to be delivered direct to each Health Board. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 5 suppliers to this Lot Patient Warming Blankets (Forced Air) devices and consumables. Delivery will be mainly into the NDS (National Distribution Site) however there maybe some requirement for product to be delivered direct to each Health Board. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 5 suppliers to this Lot Patient Warming - Reusables Delivery will be mainly into the NDS (National Distribution Site) however there maybe some requirement for product to be delivered direct to each Health Board. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 5 suppliers to this Lot Fluid Warming - Standard Flow. Delivery will be mainly into the NDS (National Distribution Site) however there maybe some requirement for product to be delivered direct to each Health Board. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 5 suppliers to this Lot Fluid Warming - Rapid flow (minimum flow rate 500mls/min)
 Delivery will be mainly into the NDS (National Distribution Site) however there maybe some requirement for product to be delivered direct to each Health Board. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 5 suppliers to this Lot Controlled patient temperature management.
 Delivery will be mainly into the NDS (National Distribution Site) however there maybe some requirement for product to be delivered direct to each Health Board. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 5 suppliers to this Lot Warming Cabinets and Warming Shelves Delivery will be mainly into the NDS (National Distribution Site) however there maybe some requirement for product to be delivered direct to each Health Board. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 5 suppliers to this Lot Patient Warming Blankets (Non Forced Air) devices and associated consumables will be mainly into the NDS (National Distribution Site) however there maybe some requirement for product to be delivered direct to each Health Board. This Lot will be awarded as a Multi Supplier unranked award were we envisage awarding 5 suppliers to this Lot",The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS)
"Six (6) Haptic Arms (4 non-portable and 2 portable) and related accessories, consumables, service and maintenance",2026-02-27,SCT,,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000821953,rls-12-JAN548259,33130000,"The University of Dundeeâs School of Dentistry requires 6 Haptic Arms (4 non-portable and 2 portable) and related accessories, consumables, service and maintenance. The Haptic Arms are to advance and support teaching, learning, assessment, research and scholarship training of both undergraduate and postgraduate dentists and therapists, as well as the wider dental team. The Haptic Arms shall be housed in the Dental School, Room no N1011, on Park Place, Dundee. Delivery, installation, and user training shall be coordinated with the end user.",University of Dundee
NP57026 Disposable Medical Pulp and Associated Products,2026-03-03,SCT,11406834.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000821748,rls-18-JAN548142,03460000 33140000,"Mandatory items:
 Female Urinal
 Male Urinal Bottle - Round (up to 900ml)
 Male Urinal Bottle - Square (up to 900ml) Mandatory Items:
 Bed Pan Liner 2000ml
 Bed Pan Support (Compatible with bed pan liner) Mandatory Items:
 Kidney Dish 700ml
 Graduated Measuring Jug 1000ml
 Multi Cup 300ml
 Shallow Tray 225mm x 135mm x 20mm (or nearest equivalent size)
 Deep Tray 216mm x 143mm x 38mm (or nearest equivalent size) Mandatory Items:
 Slipper Pan Liner 1300ml
 Slipper Pan Liner 2000ml Mandatory Items:
 Graduated Small Bowl 1000ml
 Graduated Medium Bowl 1700ml Absorbent Powder for use in the solidification of urine/liquid, used in conjunction with disposable pulp products.
 Mandatory Items:
 Absorbent Powder (Sachets) or closest equivalent Mandatory Items:
 Waxed Paper Medicine Pot 28ml or closest equivalent volume",The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS)
NP38626 Compounded Aseptic Medicines,2026-02-13,SCT,21915834.0,https://www.publiccontractsscotland.gov.uk/search/show/ocds-r6ebe6-0000818391,rls-57-JAN547174,33600000,"Supply of Compounded Aseptic Medicines to NHS Scotland.
 The Authority intends to award this Lot as a single supplier framework.
 Molecules included within this Lot are as follows:
 BORTEZOMIB
 CISPLATIN
 DOCETAXEL
 DOXORUBICIN
 GEMCITABINE
 INFLIXIMAB
 OXALIPLATIN
 TRASTUZUMAB
 VINCRISTINE
 Full details of Goods and volumes can be found within the ITT documents. Supply of Compounded Aseptic Medicines to NHS Scotland.
 The Authority intends to award this Lot as an un-ranked multi supplier framework to a maximum of three (3) Framework Participants.
 Molecules included within this Lot are as follows:
 BEVACIZUMAB
 CYTARABINE
 FLUOROURACIL PRE-FILLED PUMPS
 INSULIN
 METHOTREXATE
 NATALIZUMAB
 PACLITAXEL
 PANITUMUMAB
 TRASTUZUMAB
 VEDOLIZUMAB
 Full details of Goods and volumes can be found within the ITT documents. Supply of Compounded Aseptic Medicines to NHS Scotland.
 The Authority intends to award this Lot as a single supplier framework.
 Molecules included within this Lot are as follows:
 EPIRUBICIN
 FLUOROURACIL
 IRINOTECAN
 METHOTREXATE
 NIVOLUMAB
 RITUXIMAB
 Full details of Goods and volumes can be found within the ITT documents. Supply of Compounded Aseptic Medicines to NHS Scotland.
 The Authority intends to award this Lot as a single supplier framework.
 Molecules included within this Lot are as follows:
 CARBOPLATIN
 CETUXIMAB
 CYCLOPHOSPHAMIDE
 PEMBROLIZUMAB
 Full details of Goods and volumes can be found within the ITT documents.",The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS)
