title,deadline,country,estimated_value_eur,tender_url,notice_id,cpv_codes,description,buyer_name
Germany – Stimulator,2026-01-16,DEU,,https://ted.europa.eu/en/notice/-/detail/836883-2025,836883-2025,33158210|33158210,"Hierbei soll durch die gezielte elektrische Stimulation der unteren Rückenmuskulatour eine Stabiliserung der Lendenwirbelsäule erfolgen. Die Stimulation geschieht durch implantatierte Elektroden, wobei der Grad der Stiumaltion durch eine Stimulator angepasst werden soll. Der Impulsgeber soll hierbei in den Beckenkamm (links- oder rechtsseitig) eingepasst werden. Die Anpassung/ Programmierung soll extern mittels eines Programmiergerätes erfolgen. Die Erstprogrammierung soll über eine Begleitung während der Operation erfolgen. Anschließend soll der Patient in die Handhabung geschult werden und dadurch ein und im Laufe der Therapie durch ein handliches patientenorientiertes Geräte selbst erfolgen. Im Laufe des Verfahrens sollen die Bieter, das jeweilige postoperative Begleitkonzept darstellen. Weiterhin gilt es Zertifikate und Nachweise über das angestrebte Verfahren beizufügen mit dem Nachweis über Materialverträglichkeit der Elektrioden und des Stimulators, sowie dessen MRT- fähigkeit.",Klinikum Obergöltzsch Rodewisch
Sweden – Ultrasonic unit,2026-01-25,SWE,,https://ted.europa.eu/en/notice/-/detail/837014-2025,837014-2025,33112200|33112200,,Region Jönköpings län
Czechia – Printers and plotters,2026-01-16,CZE,,https://ted.europa.eu/en/notice/-/detail/837101-2025,837101-2025,30232100|30210000|30213000|19520000|33195000|30232100|30232100|30232100|30232100|30232100|30210000|30213000|19520000|33195000|30210000|30213000|19520000|33195000|30210000|30213000|19520000|33195000|30210000|30213000|19520000|33195000|30210000|30213000|19520000|33195000,"Předmětem plnění 4. části veřejné zakázky je dodávka 3D tiskárny pro anatomické modely, včetně příslušenství: UV světla, WaterJet. Předmětem plnění jsou rovněž průběžné a opakované dodávky spotřebního materiálu do 3D tiskárny anatomických modelů . Jednotlivé dodávky spotřebního materiálu budou realizovány na základě písemných objednávek, a to dle požadavků a skutečných potřeb zadavatele. VZ bude spolufinancovaná z prostředků Operačního programu Spravedlivá transformace 2021-2027, projekt „Life Environment Research Center Ostrava (LERCO)“, reg. č. CZ.10.03.01/00/22_003/0000003. Bližší informace jsou uvedeny v ZD. Předmětem plnění 5. části veřejné zakázky jsou průběžné a opakované dodávky spotřebního materiálu k 3D tiskárnám. Jednotlivé dodávky spotřebního materiálu budou realizovány na základě písemných objednávek, a to dle požadavků a skutečných potřeb zadavatele. VZ bude spolufinancovaná z prostředků Operačního programu Spravedlivá transformace 2021-2027, projekt „Life Environment Research Center Ostrava (LERCO)“, reg. č. CZ.10.03.01/00/22_003/0000003. Bližší informace jsou uvedeny v ZD. Předmětem plnění 3. části veřejné zakázky je dodávka ručního 3D skener. VZ bude spolufinancovaná z prostředků Operačního programu Spravedlivá transformace 2021-2027, projekt „Life Environment Research Center Ostrava (LERCO)“, reg. č. CZ.10.03.01/00/22_003/0000003. Bližší informace jsou uvedeny v ZD. Předmětem plnění 2. části veřejné zakázky je dodávka 3D tiskáren a příslušenství (3D tiskárna 43l, 3D tiskárna 22l, 3D tiskárna 10l, kompletní filament tiskový systém (3D extruder vláken), drtič filamentů). VZ bude spolufinancovaná z prostředků Operačního programu Spravedlivá transformace 2021-2027, projekt „Life Environment Research Center Ostrava (LERCO)“, reg. č. CZ.10.03.01/00/22_003/0000003. Bližší informace jsou uvedeny v ZD. Předmětem plnění 1. části veřejné zakázky je dodávka IT techniky (web kamera 4K, stativ pro fotoaparát, notebook, sestava PC pro VR, monitor pro VR, VR brýle, externí disk, pulsní oxymetr prstový, chytrý náramek, sestava PC pro NN, monitor pro NN, WiFi router). VZ bude spolufinancovaná z prostředků Operačního programu Spravedlivá transformace 2021-2027, projekt „Life Environment Research Center Ostrava (LERCO)“, reg. č. CZ.10.03.01/00/22_003/0000003. Bližší informace jsou uvedeny v ZD.",Fakultní nemocnice Ostrava
Estonia – Disposable non-chemical medical consumables and haematological consumables,2026-01-30,EST,,https://ted.europa.eu/en/notice/-/detail/837131-2025,837131-2025,33141000|33141000|33141000|33141000|33141000|33141000|33141000|33141000|33141000|33141000|33141000|33141000|33141000|33141000|33141000|33141000|33141000|33141000,Detailne kirjeldus HD Lisa-s 1. / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest Detailne kirjeldus HD Lisa-s 1. / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest Detailne kirjeldus HD Lisa-s 1. / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest Detailne kirjeldus HD Lisa-s 1. / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest Detailne kirjeldus HD Lisa-s 1. / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest Detailne kirjeldus HD Lisa-s 1. / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest Detailne kirjeldus HD Lisa-s 1. / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest Detailne kirjeldus HD Lisa-s 1. / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest Detailne kirjeldus HD Lisa-s 1. / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest Detailne kirjeldus HD Lisa-s 1. / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest Detailne kirjeldus HD Lisa-s 1. / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest Detailne kirjeldus HD Lisa-s 1. / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest Detailne kirjeldus HD Lisa-s 1. / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest Detailne kirjeldus HD Lisa-s 1. / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest Detailne kirjeldus HD Lisa-s 1. / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest Detailne kirjeldus HD Lisa-s 1. / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest Detailne kirjeldus HD Lisa-s 1. / Kõrvaldamise alused ja kvalifitseerimistingimused: Vaata hanke alusdokumentidest,sihtasutus Tartu Ülikooli Kliinikum
Poland – Disposable non-chemical medical consumables and haematological consumables,2026-01-19,POL,,https://ted.europa.eu/en/notice/-/detail/837174-2025,837174-2025,33141000|33141000|33141000,Dostawa sprzętu medycznego koniecznego do leczenia pacjentów z przewlekłą niewydolnością nerek (w systemie ADO/CADO) – na okres 24 miesięcy – 2 pakiety Dostawa sprzętu medycznego koniecznego do leczenia pacjentów z przewlekłą niewydolnością nerek (w systemie ADO/CADO) – na okres 24 miesięcy – 2 pakiety,Szpital Kliniczny im. Karola Jonschera Uniwersytetu Medycznego im. Karola Marcinkowskiego w Poznaniu
"Malta – Medical equipments, pharmaceuticals and personal care products",2026-01-23,MLT,,https://ted.europa.eu/en/notice/-/detail/837238-2025,837238-2025,33000000|33100000|33162000|33192230|33000000|33100000|33162000|33192230,CT3037/2025 - TENDER FOR THE SUPPLY OF OPERATING TABLE SYSTEMS,Department of Contracts
Czechia – Medical consumables,2026-01-19,CZE,,https://ted.europa.eu/en/notice/-/detail/837673-2025,837673-2025,33140000|33140000,"Předmětem veřejné zakázky jsou průběžné dodávky elektrod defibrilačních endokardiálních, jejichž účelem je přenášení elektrických signálů do srdečního svalu a naopak, implantují se vždy ke kompatibilnímu ICD, určeno výhradně pro I.Interní kliniku - odd. invaz. vyš. metod-kardiovertery, Fakultní nemocnice Olomouc, a to dle popisu a minimálních technických podmínek stanovených v příloze č. 3 zadávací dokumentace.",Fakultní nemocnice Olomouc
Germany – Computer equipment and supplies,2026-01-26,DEU,,https://ted.europa.eu/en/notice/-/detail/837800-2025,837800-2025,30200000|48820000|30213000|30212000|30213100|30232110|33195100|39134000,HPE Server AIO-PCs Mini-PCs Notebooks Drucker Monitore mobile Ladewagen,Kreisausschuss des Hochtaunuskreises
Germany – Office furniture,2026-01-23,DEU,,https://ted.europa.eu/en/notice/-/detail/837920-2025,837920-2025,39130000|38553000|33136000|39130000|39130000|39130000|39130000|39130000|39130000|39162200|39162200|39162200|38553000|38553000|38553000|38553000|38553000|38553000|31710000|31710000,"Ziel dieser Ausschreibung ist der Abschluss eines Kaufvertrags mit den jeweils je Los bezuschlagten Bietern. Gegenstand des Vertrags ist die Lieferung der in den jeweiligen Losen beschriebenen Geräte gemäß den festgelegten technischen und funktionalen Anforderungen. Die Beschaffung dient der bedarfsgerechten Bereitstellung der geforderten Ausstattung in der Qualität und Menge sowie innerhalb der Lieferfristen. Die Lieferungen erfolgen auf Grundlage der in den Verfahrens- und Vertragsunterlagen definierten Bedingungen. Ziel ist es, eine effiziente und bedarfsgerechte Beschaffung sicherzustellen, die den Anforderungen des Auftraggebers in vollem Umfang entspricht. Los 1: Multifunktionstische Ziel dieser Ausschreibung ist der Abschluss eines Kaufvertrags mit den jeweils je Los bezuschlagten Bietern. Gegenstand des Vertrags ist die Lieferung der in den jeweiligen Losen beschriebenen Geräte gemäß den festgelegten technischen und funktionalen Anforderungen. Die Beschaffung dient der bedarfsgerechten Bereitstellung der geforderten Ausstattung in der Qualität und Menge sowie innerhalb der Lieferfristen. Die Lieferungen erfolgen auf Grundlage der in den Verfahrens- und Vertragsunterlagen definierten Bedingungen. Ziel ist es, eine effiziente und bedarfsgerechte Beschaffung sicherzustellen, die den Anforderungen des Auftraggebers in vollem Umfang entspricht. Los 2: Werkstattwagen Ziel dieser Ausschreibung ist der Abschluss eines Kaufvertrags mit den jeweils je Los bezuschlagten Bietern. Gegenstand des Vertrags ist die Lieferung der in den jeweiligen Losen beschriebenen Geräte gemäß den festgelegten technischen und funktionalen Anforderungen. Die Beschaffung dient der bedarfsgerechten Bereitstellung der geforderten Ausstattung in der Qualität und Menge sowie innerhalb der Lieferfristen. Die Lieferungen erfolgen auf Grundlage der in den Verfahrens- und Vertragsunterlagen definierten Bedingungen. Ziel ist es, eine effiziente und bedarfsgerechte Beschaffung sicherzustellen, die den Anforderungen des Auftraggebers in vollem Umfang entspricht. Los 3: Magnetventil Ziel dieser Ausschreibung ist der Abschluss eines Kaufvertrags mit den jeweils je Los bezuschlagten Bietern. Gegenstand des Vertrags ist die Lieferung der in den jeweiligen Losen beschriebenen Geräte gemäß den festgelegten technischen und funktionalen Anforderungen. Die Beschaffung dient der bedarfsgerechten Bereitstellung der geforderten Ausstattung in der Qualität und Menge sowie innerhalb der Lieferfristen. Die Lieferungen erfolgen auf Grundlage der in den Verfahrens- und Vertragsunterlagen definierten Bedingungen. Ziel ist es, eine effiziente und bedarfsgerechte Beschaffung sicherzustellen, die den Anforderungen des Auftraggebers in vollem Umfang entspricht. Los 4: Rollcontainer Ziel dieser Ausschreibung ist der Abschluss eines Kaufvertrags mit den jeweils je Los bezuschlagten Bietern. Gegenstand des Vertrags ist die Lieferung der in den jeweiligen Losen beschriebenen Geräte gemäß den festgelegten technischen und funktionalen Anforderungen. Die Beschaffung dient der bedarfsgerechten Bereitstellung der geforderten Ausstattung in der Qualität und Menge sowie innerhalb der Lieferfristen. Die Lieferungen erfolgen auf Grundlage der in den Verfahrens- und Vertragsunterlagen definierten Bedingungen. Ziel ist es, eine effiziente und bedarfsgerechte Beschaffung sicherzustellen, die den Anforderungen des Auftraggebers in vollem Umfang entspricht. Los 5: Turbinenschleifer Ziel dieser Ausschreibung ist der Abschluss eines Kaufvertrags mit den jeweils je Los bezuschlagten Bietern. Gegenstand des Vertrags ist die Lieferung der in den jeweiligen Losen beschriebenen Geräte gemäß den festgelegten technischen und funktionalen Anforderungen. Die Beschaffung dient der bedarfsgerechten Bereitstellung der geforderten Ausstattung in der Qualität und Menge sowie innerhalb der Lieferfristen. Die Lieferungen erfolgen auf Grundlage der in den Verfahrens- und Vertragsunterlagen definierten Bedingungen. Ziel ",Handwerkskammer Ulm
France – Rat-disinfestation services,2026-01-14,FRA,,https://ted.europa.eu/en/notice/-/detail/838251-2025,838251-2025,90923000|90923000|90923000|90923000|90923000|90923000|90923000|90922000|90921000|33191000,"Dératisation Désinsectisation des volants et rampants frelons, guêpes, abeilles Acquisition, installation et gestion de pigeonniers contraceptifs",Communauté d'Agglomération Grand Belfort
Poland – Freezers,2026-01-16,POL,,https://ted.europa.eu/en/notice/-/detail/838306-2025,838306-2025,39711120|39711100|38000000|51430000|33120000|39711120|39711100|38000000|33120000|51430000,"Przedmiotem zamówienia jest dostawa, montaż i uruchomienie zamrażarki niskotemperaturowej wraz z wyposażeniem do Oddziału IHAR-PIB w Boninie",Instytut Hodowli i Aklimatyzacji Roślin - Państwowy Instytut Badawczy
Norway – Devices for the disabled,2026-01-26,NOR,,https://ted.europa.eu/en/notice/-/detail/838309-2025,838309-2025,33196200|33196200,"The procurement includes floor standing toilets with washing and drying function with associated accessories, spare parts and the engineering design services, assembly, repairs, disassembly and preparation for reuse. The estimated total value of the procurement is given. The maximum total value is estimated to be up to 25% higher than the estimated total value. The contract shall be valid for 2 years, with an option for an extension(s) for all or parts of the contract for up to 2 years.",ARBEIDS- OG VELFERDSETATEN
