quality_score,notice_id,original_title,buyer_name,country,deadline,estimated_value_eur,tender_url,english_summary,what_they_want,eligibility_requirements,evaluation_criteria,language_detected
4,820050-2025,"Bulgaria – Sterilisation, disinfection and hygiene devices","""Многопрофилна болница за активно лечение д - р Иван Селимински - Сливен"" АД",BGR,2029-01-08,,https://ted.europa.eu/en/notice/-/detail/820050-2025,"This is a Dynamic Purchasing System (DPS) for the supply of various types of disinfectants, medical devices and consumables for the Multi-Profile Hospital for Active Treatment Dr. Ivan Seliminski in Sliven, Bulgaria. The DPS will run for 48 months with individual contracts lasting up to 24 months, and allows continuous participation of qualified suppliers throughout its duration.","Various types of disinfectants, medical devices and consumables for hospital use. Specific products are organized in nomenclatures with sub-nomenclature units (rows) as detailed in technical specifications. Exact product models/brands are NOT FOUND in this excerpt.","Open to any economic operator that meets the selection criteria (which also serve as exclusion criteria) as specified in Articles 101 of ZOP (Public Procurement Law) and Article 47 of PPZOP. Candidates must submit applications via the Centralized Electronic Platform (CAIS EOP 2). No specific certifications, experience levels, or company size requirements mentioned in this excerpt.","NOT FOUND (the notice text is cut off before evaluation criteria are fully described, though it mentions offers will contain technical and price proposals)",Bulgarian
4,842134-2025,"Finland – Endoscopy, endosurgery devices",Pohjois-Savon hyvinvointialue,FIN,2026-01-23,,https://ted.europa.eu/en/notice/-/detail/842134-2025,"The North Savo Wellbeing Services County is procuring capsule endoscopy equipment for the University Hospital of Kuopio's endoscopy unit. The procurement includes capsule cameras for small intestine examination, necessary equipment usage rights during the contract period, related consumables, accessories and software, with approximately 180 examinations per year.","Capsule endoscopy equipment (capsule cameras for small intestine examination), associated device-specific consumables, accessories, and software with usage rights for the contract period. Equipment must undergo trial use consisting of five (5) capsule endoscopy examinations.",Suppliers must meet minimum requirements for capsule endoscopy devices. Equipment must be delivered for trial use within twenty-one (21) days of purchaser's request. Suppliers should consider services provided by InHouse companies (Servica Oy and Istekki Oy) for maintenance and logistics services in their offers.,"Total points: 100. Price weighting: 40 points. Quality weighting: 60 points. Equipment meeting minimum requirements will undergo trial use after bid submission, consisting of 5 capsule endoscopy examinations to be completed within 2 months of bid submission date.",Finnish
3,817578-2025,Estonia – Orthopaedic support devices,sihtasutus Tartu Ülikooli Kliinikum,EST,2025-12-29,,https://ted.europa.eu/en/notice/-/detail/817578-2025,"This is a tender issued by Tartu University Hospital (Estonia) for the procurement of orthopaedic support devices. The tender is divided into multiple lots (at least 23 annexes/parts mentioned), with detailed descriptions and qualification requirements referenced in the procurement documents.",Orthopaedic support devices across multiple categories (specific details referenced in Annexes 1-23 of the tender documents). No specific model numbers or brands are mentioned in this summary notice.,Exclusion grounds and qualification conditions are specified in the procurement base documents (referenced for each annex/lot separately).,NOT FOUND,Estonian
3,818703-2025,Poland – Miscellaneous medical devices and products,Samodzielny Publiczny Zakład Opieki Zdrowotnej Wojewódzki Szpital Specjalistyczny Nr 3 w Rybniku,POL,2026-01-14,,https://ted.europa.eu/en/notice/-/detail/818703-2025,"This is a tender by a specialist provincial hospital in Rybnik, Poland for the procurement of miscellaneous medical devices and products. The detailed requirements are contained in multiple annexes including technical specifications, price forms, quality and service conditions, and room layouts with technical descriptions.","Miscellaneous medical devices and products (specific items not detailed in the notice excerpt provided; full details contained in Annexes 1.1-1.4 including technical specifications, price forms, and detailed technical and operational parameters)",NOT FOUND,Technical and operational parameters will be scored according to detailed point-based evaluation methodology (referenced in Annex 1.2.1),Polish
3,821654-2025,"Denmark – IT services: consulting, software development, Internet and support",Region Midtjylland,DNK,,,https://ted.europa.eu/en/notice/-/detail/821654-2025,"Region Midtjylland (Central Denmark Region) is conducting a market dialogue prior to tendering for a dose monitoring system for patient dosimetry across multiple radiology specialties (conventional X-ray, mammography, interventional procedures, CT, fluoroscopy, DEXA, and hybrid scanners in nuclear medicine) to comply with regulations taking effect January 1, 2026. The region is inviting potential suppliers to individual dialogue meetings in week 5 of 2026 to demonstrate solutions and discuss requirements.","A dose monitoring system (dosismonitoreringssystem) for patient dosimetry covering conventional X-ray, mammography, interventional procedures, CT scanning, fluoroscopy, DEXA scanning, and hybrid scanners in nuclear medicine.",NOT FOUND,"NOT FOUND (this is a market dialogue/pre-tender engagement, not the actual tender)",Danish
3,822515-2025,Denmark – Dental consumables,Skanderborg kommune,DNK,2025-12-22,,https://ted.europa.eu/en/notice/-/detail/822515-2025,"This is a public tender for the supply of dental materials (consumables and treatment materials) to eight Danish municipalities under the Jysk Fællesindkøb procurement cooperation. The contract is expected to start March 1, 2026, with an initial 2-year duration and possible extension of 2 x 12 months.","Dental materials including consumables and materials for dental treatment (dentalmaterialer - forbrugsartikler og materialer til tandbehandling). Specific products are listed in tender documents including Annex A (historical consumption), Annex 2 (specifications), and Annex 3 (supplier's bid list and product basket).",Open procedure - any economic operator can submit a bid (enhver kan afgive tilbud) according to Danish Procurement Act LBK No. 10 of 06/01/2023.,NOT FOUND,Danish
3,823220-2025,Poland – Computer equipment and supplies,Wojewódzki Szpital Specjalistyczny im. J. Gromkowskiego,POL,2026-01-14,,https://ted.europa.eu/en/notice/-/detail/823220-2025,This is a tender for the supply of computer equipment to a specialist hospital in Poland. The procurement includes 109 integrated all-in-one computers (integrated with monitor) and 30 brand new laptop computers. The contract must be bid as a complete package.,"109 units of all-in-one computers (integrated with monitor, not extending beyond monitor outline); 30 units of brand new laptop computers (type A, must meet MIL-STD-810H standards); monitors. Equipment must have CE declaration of conformity, WHQL compatibility confirmation, and access to latest drivers via manufacturer's website using serial/model number.","Bidders must provide ISO 9001 certification for service provision, and manufacturer must have ISO 9001, ISO 27001, and ISO 14001 certifications. Must provide CE declaration of conformity, WHQL platform compatibility proof, access to manufacturer's driver update website, and for laptops - manufacturer declaration confirming MIL-STD-810H standard compliance. Contracting authority may request product samples (1 unit each) upon notification.",NOT FOUND,Polish
3,823229-2025,Estonia – Disposable non-chemical medical consumables and haematological consumables,sihtasutus Tartu Ülikooli Kliinikum,EST,2026-01-14,,https://ted.europa.eu/en/notice/-/detail/823229-2025,"Tartu University Hospital in Estonia is tendering for the procurement of disposable non-chemical medical consumables and haematological consumables. Detailed technical specifications are referenced in Annex 1 of the procurement documents, with qualification and exclusion criteria also contained in the tender documentation.","Disposable non-chemical medical consumables and haematological consumables (specific items, models and brands to be detailed in Annex 1 of tender documents)",Exclusion grounds and qualification conditions are specified in the procurement base documents (details referenced in Annex 1),NOT FOUND,Estonian
3,823541-2025,"Slovakia – Echo, ultrasound and doppler imaging equipment",Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica,SVK,2026-01-27,,https://ted.europa.eu/en/notice/-/detail/823541-2025,"This tender is for diagnostic ultrasound devices for the needs of outpatient rheumatology, ENT, and urology departments at Fakultná nemocnica s poliklinikou F.D. Roosevelta Banská Bystrica hospital. The procurement includes delivery, installation, functional testing, operator training, and full authorized service support for minimum 24 months including mandatory preventive inspections.","Diagnostic ultrasound devices (echo, ultrasound and doppler imaging equipment) for rheumatology, ENT (ORL), and urology ambulatory care. Equipment must be new, unused, not refurbished, with minimum technical-medical and functional parameters. Must include delivery to designated location, installation, functional testing, documentation handover, operator training, and full authorized service support for minimum 24 months including mandatory preventive inspections and technical controls.","Equipment must be approved for import and sale in Slovak Republic or within European Union, must comply with valid international standards, STN (Slovak Technical Standards), and generally binding legal regulations, and must have valid ŠUKL (State Institute for Drug Control) code assigned. Suppliers must guarantee functionality by delivering all components that directly or indirectly relate to equipment functionality. All offered services must comply with relevant EU legal requirements.",NOT FOUND,Slovak
3,824043-2025,Estonia – Disposable non-chemical medical consumables and haematological consumables,sihtasutus Tartu Ülikooli Kliinikum,EST,2026-01-13,,https://ted.europa.eu/en/notice/-/detail/824043-2025,"This is a tender for framework agreement(s) to purchase FISH (Fluorescence In Situ Hybridization) probes needed for conducting analyses. The buyer will conclude framework agreements with up to 5 qualified bidders for a period of 3 years or until maximum contract value is reached, with an option to increase order volume by 50%.",FISH probes (Fluorescence In Situ Hybridization probes) for laboratory analyses. Specific models or brands are referenced in Annex 1 which is not provided in this notice.,Qualification requirements are specified in section 4 of the Instructions to Bidders document in the tender documentation. Specific requirements are not detailed in this notice extract.,NOT FOUND,Estonian
3,824969-2025,"Belgium – Radiotherapy, mechanotherapy, electrotherapy and physical therapy devices",Ziekenhuis aan de Stroom (ZAS) vzw,BEL,2026-01-06,,https://ted.europa.eu/en/notice/-/detail/824969-2025,"This tender is for the supply, implementation, support, and innovation of HDR (High Dose Rate) brachytherapy systems and associated consumables for radiotherapy departments. The contract includes hardware, software, maintenance, training, and ongoing support with a focus on quality, safety, innovation, and cost-efficiency.","HDR brachytherapy systems including applicators and accessories; integration with existing hospital information systems (EPD, PACS); planning, dosimetry, quality control and reporting software; cybersecurity-compliant configuration; all necessary consumables and applicators for HDR brachytherapy; QA tools and imaging system integration capabilities.",NOT FOUND,"Competitive procedure with negotiation seeking optimal combination of quality, safety, innovation, and cost-efficiency.",Dutch
3,825549-2025,Estonia – Medical equipments,sihtasutus Põhja-Eesti Regionaalhaigla,EST,2026-01-14,,https://ted.europa.eu/en/notice/-/detail/825549-2025,"This is a tender for procurement of an intraoperative ultrasound device with necessary transducers for use in operating room conditions at a regional hospital in Estonia. The device must be capable of performing various types of intraoperative examinations including neurosurgical, abdominal, vascular, urological, gynecological, and laparoscopic studies.","Intraoperative ultrasound apparatus with required transducers capable of performing: intraoperative neurosurgical examinations, intraoperative abdominal examinations, intraoperative vascular examinations, intraoperative urological examinations, intraoperative gynecological examinations, intraoperative laparoscopic examinations, abdominal organ and vessel examinations, peripheral vascular examinations, musculoskeletal examinations, small parts and superficial tissue examinations, and gynecological examinations.",Exclusion grounds and qualification conditions are specified in the tender's foundational documents (not detailed in this notice).,NOT FOUND,Estonian
3,825726-2025,Finland – Medical consumables,HUS-yhtymä,FIN,2029-12-31,,https://ted.europa.eu/en/notice/-/detail/825726-2025,"HUS (Hospital District of Helsinki and Uusimaa) is establishing a Dynamic Purchasing System (DPS) for the procurement of various medical care, hygiene, and general supplies as well as equipment used in primary healthcare and specialized medical care for the period 2024-2029. The system will be used to conduct 10-40 individual procurement competitions with an estimated total value of approximately €50 million over 5 years.","Various healthcare supplies and equipment including: medication dispensing products, baby and breastfeeding products (bottles, sippy cups, breast shields), bedpans, generic patient cuffs, measurement instruments and vision charts, stethoscopes, patient restraints and body support devices, small diagnostic devices (hearing and vision testing, thermometers, small patient monitoring devices), other small equipment (breast pumps, headlights, patient scales, TENS devices). Specific products will be defined in each internal competition within the DPS.",Suppliers must fulfill suitability requirements specified in the ESPD form and procurement criteria section. All candidates meeting the suitability requirements will be admitted to the Dynamic Purchasing System. Applications can be submitted throughout the DPS validity period.,NOT FOUND,Finnish
3,827428-2025,"Bulgaria – Sterilisation, disinfection and hygiene devices","""Многопрофилна болница за активно лечение д - р Иван Селимински - Сливен"" АД",BGR,2029-12-08,,https://ted.europa.eu/en/notice/-/detail/827428-2025,"This is a Dynamic Purchasing System (DPS) for the supply of various types of disinfectants, medical devices and consumables for a multi-profile hospital in Sliven, Bulgaria. The DPS will be valid for 48 months, with individual contracts lasting up to 24 months, and operates in two stages: qualification of suppliers followed by specific invitations to tender.","Various types of disinfectants, medical devices and consumables for hospital use. The technical specifications may be partially modified during the DPS operation with new disinfectants, medical devices and/or consumables added or quantities changed. Specific product models or brands are not mentioned in this excerpt.",Open to any economic operator that meets the selection criteria throughout the 48-month duration. Candidates must submit ESPD (European Single Procurement Document) containing information about their personal situation and selection criteria. Access and participation in the DPS is free and open to all interested parties. Selection criteria also serve as exclusion criteria.,NOT FOUND,Bulgarian
3,827476-2025,Poland – Mammography devices,Narodowy Instytut Onkologii im. Marii Skłodowskiej-Curie - Państwowy Instytut Badawczy Oddział w Gliwicach,POL,2025-12-18,,https://ted.europa.eu/en/notice/-/detail/827476-2025,"The National Institute of Oncology in Gliwice, Poland is procuring a digital mammography device along with modernization works for the facility rooms. The contract includes delivery, installation, and facility modifications with a 9-week completion timeline from contract signing.","Digital mammography device (mammograf cyfrowy) with associated facility modernization works. Technical parameters are specified in Attachment 2, and room modernization description in Attachment 4 of the tender documents.",NOT FOUND,"Price 60% / Technical parameters 40%. The contracting authority will apply the procedure specified in Article 139, Section 1 of the Public Procurement Law.",Polish
3,827850-2025,Estonia – Disposable non-chemical medical consumables and haematological consumables,sihtasutus Tartu Ülikooli Kliinikum,EST,2026-01-16,,https://ted.europa.eu/en/notice/-/detail/827850-2025,Tartu University Hospital in Estonia is tendering for the procurement of disposable non-chemical medical consumables and haematological consumables. Detailed technical specifications and qualification requirements are referenced in Annex 1 of the tender documents.,"Disposable non-chemical medical consumables and haematological consumables (specific items, models and brands to be found in Annex 1 of tender documents)",Exclusion grounds and qualification conditions are specified in the tender base documents (detailed information in Annex 1),NOT FOUND,Estonian
3,828948-2025,Finland – Orthopaedic footwear,Keski-Pohjanmaan hyvinvointialue,FIN,2025-12-19,,https://ted.europa.eu/en/notice/-/detail/828948-2025,"Keski-Pohjanmaan hyvinvointialue Soite is requesting tenders for mechanical lower limb prostheses for the period 1.1.2026 - 31.12.2027 with options for 1+1 additional years. The procurement covers prosthetic services for customers who require lower limb prostheses due to congenital abnormalities, accidents, or amputations, including assessment, design, manufacturing, fitting, and usage guidance.","Mechanical lower limb prostheses including: lower leg (shank) prostheses for activity levels 2-5, and thigh prostheses for activity levels 2-5. Services include needs assessment, design, manufacturing, fitting, usage instruction, suitability evaluation, and necessary adjustments within a 4-month suitability guarantee period.",NOT FOUND,"Points-based system will establish priority ranking among service providers. Two service providers will be selected through a framework agreement, with priority order determined by points scored.",Finnish
3,828958-2025,Slovakia – Medical laser other than for surgery,Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica,SVK,2026-01-30,,https://ted.europa.eu/en/notice/-/detail/828958-2025,"This tender is for the procurement of an ophthalmic laser with slit lamp and accessories, including related services, for the 2nd Eye Clinic at F.D. Roosevelt University Hospital in Banská Bystrica, Slovakia. The equipment must be new, unused, meet EU standards, have valid ŠUKL code, and include delivery, installation, testing, handover, staff training, and minimum 24 months authorized service support with preventive maintenance.","Ophthalmic laser (oftalmologický laser) with slit lamp (štrbinová lampa) and accessories for ophthalmology use. Equipment must be new, unused, non-refurbished, approved for import and sale in Slovak Republic/EU, compliant with international standards and STN norms, with valid ŠUKL code. Includes delivery, installation, functional testing, documentation, operator training, and full authorized service support for minimum 24 months including mandatory preventive inspections.","Bidders must provide equipment approved for import and sale in Slovak Republic and EU, compliant with valid international standards, STN standards, and legally binding regulations. Equipment must have assigned valid ŠUKL code. Bidders must guarantee functionality by delivering and pricing all components necessary for equipment operation. Proof of product identification and compliance with utility, operational and functional characteristics is bidder's responsibility. Equivalent products allowed if meeting required utility, operational and functional characteristics.",NOT FOUND,Slovak
3,829309-2025,Germany – Medical equipments,Klinikum Saabrücken gGmbH,DEU,2025-12-29,,https://ted.europa.eu/en/notice/-/detail/829309-2025,"Klinikum Saarbrücken gGmbH intends to rent a mobile angiography container solution for a temporary period (four months starting end of May 2026) to maintain patient care operations during installation of a new angiography system. They plan to conduct a negotiated procedure without competition exclusively with Marienhaus Dienstleistungen GmbH, as their container is reportedly the only available solution meeting the technical requirements within the required timeframe.","Mobile angiography container solution equipped with Siemens Healthineers ARTIS One angiography system, capable of performing interventional, radiological, neuroradiological and cardiological procedures including full emergency care spectrum. Rental period of four months beginning end of May 2026.",This is a direct award/negotiated procedure without competition exclusively with Marienhaus Dienstleistungen GmbH under §14 Abs. 4 Nr. 2 lit. b VGV (German procurement law). No open eligibility requirements as only one supplier is being approached.,NOT FOUND,German
3,829581-2025,Estonia – Disposable non-chemical medical consumables and haematological consumables,sihtasutus Tartu Ülikooli Kliinikum,EST,2026-01-15,,https://ted.europa.eu/en/notice/-/detail/829581-2025,"This is a tender by Tartu University Hospital in Estonia for a framework agreement to purchase hemodialysis dialyzers (disposable medical consumables for dialysis treatment). The contract will run until October 31, 2028, and includes training requirements for product use in Estonian language.","Hemodialysis dialyzers (specific product descriptions provided in Annex 1, not included in this excerpt). Training on use of each product offered must be provided in Estonian language at the hospital location (L. Puusepa 8, Tartu).","Qualification requirements and exclusion grounds are specified in the tender's founding document ""Instructions to Bidders"" (specific requirements not detailed in this excerpt).",NOT FOUND,Estonian
