quality_score,notice_id,original_title,buyer_name,country,deadline,estimated_value_eur,tender_url,english_summary,what_they_want,eligibility_requirements,evaluation_criteria,language_detected
3,IT-336-3931-WCC 00003931,ASC23043 - Positive Behaviour Support Supported Living Services in Herefordshire &amp; Worcestershire DPS,Worcestershire County Council,GBR,2027-08-29,10500000,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/43ad892e-b740-4c79-b465-3f4e3e68abfd,"This is a Dynamic Purchasing System (DPS) for Positive Behaviour Support Supported Living Services in Herefordshire and Worcestershire, jointly established by Worcestershire County Council and NHS Worcestershire and Herefordshire Integrated Care Board. Suppliers can apply at any time during the DPS term, with evaluations conducted in periodic rounds, to pre-qualify for future mini competitions and individual placement referrals.",NOT FOUND,"Suitably experienced, qualified and appropriately accredited suppliers who can meet selection criteria and minimum standards as requested in the SSQ Questionnaire (Stage 1) and Evaluation (Stage 2). No maximum number of suppliers.","3-stage process: Stage 1 - SSQ Questionnaire (selection criteria and minimum standards), Stage 2 - Evaluation, Stage 3 - Mini Competitions for scheme/cluster placements or Referrals for individual placements. Specific weighting criteria not mentioned.",English
3,CF-2460000D0O000000rwimUAA,Contract Notice,UK Health Security Agency,GBR,2028-09-24,1,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/7174d325-65d3-4a63-9c19-0a8d5ff4a2e7,"UK Health Security Agency is establishing a 4-year Dynamic Purchasing System (2024-2028) for COVID-19 vaccines to support future immunisation campaigns. The potential total value is £1 billion excluding VAT, with no minimum volume commitment. Suppliers must be approved on the DPS before participating in future tender opportunities.",COVID-19 vaccines and product(s) indicated for protection from COVID-19 for immunisation campaigns. No specific brands or model numbers mentioned.,Suitably qualified suppliers must apply and be accepted onto the Dynamic Purchasing System via the Atamis eTendering system. Only suppliers whose DPS application has been approved at the time an ITT is issued will be eligible to submit tenders. Specific qualifying criteria available through the Atamis system.,NOT FOUND,English
3,IT-336-3680-WCC 00003680,ASC23034 Dynamic Purchasing System for the Provision of Older People Residential and Nursing Care Long Term and Replacement Care Services,Worcestershire County Council,GBR,2028-03-31,,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/2f12e87e-9af0-4d7f-a5a5-6ce02be865ea,"Worcestershire County Council is establishing a Dynamic Purchasing System (DPS) for older people residential and nursing care services across three lots covering long-term care, short-term replacement care, and emergency short-term replacement care. The DPS will run for four years with options to extend up to eight years total, with an estimated lifetime value of £1,107,679,301 excluding VAT.","Older people residential and nursing care services divided into three lots: Lot 1 - Long Term Care, Lot 2 - Short Term Replacement Care, and Lot 3 - Emergency Short Term Replacement Care.","Suitably experienced, qualified and appropriately accredited suppliers. Applicants must complete a Standard Selection Questionnaire and upload relevant documents.",NOT FOUND,English
3,CF-1765100D0O000000rwimUAA,Child and Adolescent Mental Health Services (CAMHS) Dynamic Purchasing System (DPS),North Staffordshire Combined Healthcare NHS Trust,GBR,2027-11-01,5000000,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/7bd0accd-9a61-41b2-bca7-23cb96fd2731,"North Staffordshire Combined Healthcare NHS Trust is reopening their Dynamic Purchasing System (DPS) for Child and Adolescent Mental Health Services (CAMHS) covering North Staffordshire and Stoke on Trent. The DPS, which went live in February 2023 for 5 years, allows qualified organizations to bid on CAMHS service contracts offering face-to-face, digital, and blended delivery approaches for children aged 0-25 years.","Child and Adolescent Mental Health Services (CAMHS) for ages 0-25 years (primarily 0-18 years) including multi-disciplinary team approaches, strengths-based and trauma informed care, outcome measurement tools, and services delivered through face-to-face, digital, and blended modalities.",Suitably experienced organisations with expertise in Child and Adolescent Mental Health Services. Applicants must indicate their area(s) of expertise and delivery modalities as part of the qualification process.,NOT FOUND,English
3,CF-1447700D0O000000rwimUAA,CHC Nursing Home Beds Preferred Provider List- NHS BLMK ICB,"NHS Bedfordshire, Luton &amp; Milton Keynes Integrated Care Board",GBR,2030-03-28,1,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/0d1be456-2c5e-49a2-90ef-e1d8601ba23d,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board is seeking qualified providers of Continuing Healthcare (CHC) nursing home beds to deliver safe and appropriate care in registered nursing home settings across the BLMK population. This is an Any Qualified Provider (AQP) framework for a 5-year period with optional 2-year extension.",Continuing Healthcare (CHC) nursing home beds services to be delivered in registered nursing home settings for clients assessed as requiring this level of care.,"Suitably qualified providers of CHC nursing home beds services with formal registered nursing home facilities capable of delivering services across Bedfordshire, Luton and Milton Keynes population.",NOT FOUND,English
3,20220718173253-68205,"CHC Nursing Home Beds Preferred Provider List- NHS Bedfordshire, Luton and Milton Keynes ICB",EU SUPPLY LIMITED,GBR,2030-03-28,1,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/11c2b1c2-b12a-4b01-9aec-a6ee47f663e5,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board is seeking qualified providers of Continuing Healthcare (CHC) nursing home beds to deliver safe and appropriate care in registered nursing home settings across Bedfordshire, Luton and Milton Keynes. This is an Any Qualified Provider (AQP) contract on a zero value, zero volume basis for 5 years with an optional 2-year extension.",CHC (Continuing Healthcare) nursing home beds services to be delivered in formal registered nursing home settings for clients assessed as requiring such placements.,Suitably qualified providers of CHC Nursing Homes Beds services. Specific certification and experience requirements are contained in the documentation on the Atamis platform (project C153293).,NOT FOUND,English
3,20230127170949-104118,Mental Health Recovery,Rotherham Metropolitan Borough Council,GBR,2028-05-08,20000000,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/c6c43253-15a2-4aba-82e0-4dfa0aae377d,Rotherham Metropolitan Borough Council is seeking experienced providers to deliver community mental health care and support services through a Flexible Purchasing System (FPS). The services will provide mental health recovery support and personalized social care to help people with mental ill-health achieve independent living in their communities.,"Community mental health care and support services including supported living accommodation-based services and day opportunities, all based on mental health recovery principles. NOT medical devices or equipment.",Experienced providers with capability and capacity to deliver community mental health care and support. Must register with the Social Value Portal and commit to delivering Social Value additionality via all contracts.,NOT FOUND,English
3,DPS 4 - Croydon Integrated Procurement Hub,DPS 4 - Supply of community equipment for small moving &amp; handling equipment,LONDON BOROUGH OF CROYDON,GBR,2026-11-30,3627000,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/10b909d2-c54f-451b-b181-2aec480cf000,"Croydon Council is establishing a Dynamic Purchasing System (DPS) for the supply of community equipment to the Integrated Procurement Hub, a shared service arrangement with multiple local authorities. This specific tender (DPS 4) covers 32 categories of small moving and handling equipment.","Small moving and handling equipment across 32 categories of community equipment. The tender is part of a broader DPS system that also includes complex community equipment (31 categories), paediatric community equipment (28 categories), and simple aids community equipment (102 categories).","Suppliers must meet DPS admission criteria set out in the Pre-Qualification Questionnaire (PQQ) to become an ""Admitted Supplier."" Unsuccessful suppliers may re-submit revised PQQs at any time. Suppliers can register at any time during the DPS validity period.",NOT FOUND,English
3,Croydon Integrated Procurement Hub - DN179859 - DPS3,DPS 3 - Supply of community equipment for Simple Aids,LONDON BOROUGH OF CROYDON,GBR,2026-11-30,13429000,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/d53c5a84-17f7-4c1c-a1c5-14ebb67e2752,"Croydon Council is establishing a Dynamic Purchasing System (DPS) for the supply of simple aids community equipment on behalf of itself and partner local authorities through the Integrated Procurement Hub. This is DPS 3, covering 102 categories of simple aids, as part of a larger framework that also includes complex and paediatric equipment categories.",102 categories of simple aids community equipment (specific device types and models not detailed in notice),"Suppliers must meet DPS admission criteria set out in the Pre-Qualification Questionnaire (PQQ) to become an ""Admitted Supplier"" and be registered on the DPS for one or more product categories. Unsuccessful suppliers may resubmit revised PQQs at any time.",NOT FOUND,English
3,Croydon Integrated Procurement Hub - DN179859,DPS 2 - Supply of community equipment paediatric and young adults,LONDON BOROUGH OF CROYDON,GBR,2026-10-31,7644000,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/b86c2922-5fa3-43d1-89ba-ebd62b8e4ddd,"Croydon Council is establishing a Dynamic Purchasing System (DPS) for the supply of paediatric and young adult community equipment on behalf of itself and partner local authorities through the Integrated Procurement Hub. This is DPS_2 covering 28 categories of paediatric community equipment, operating as an open system where suppliers can join at any time during its validity period.",28 categories of paediatric and young adult community equipment (specific categories and model numbers not detailed in this notice),"Suppliers must meet DPS admission criteria set out in the Pre-Qualification Questionnaire (PQQ). Unsuccessful suppliers may resubmit revised PQQs at any time. No specific certifications, experience levels, or company size requirements mentioned in this notice.",NOT FOUND,English
